country,x,y
Albania,26,-258
Andorra,-262,-227
Armenia,400,-147
Austria,-65,-122
Azerbaijan,445,-126
Belarus,83,17
Belgium,-202,-60
Bosnia,-19,-191
Bulgaria,94,-205
Croatia,-32,-169
Cyprus,255,-335
Czech Republic,-60,-82
Denmark,-142,49
Estonia,35,120
Finland,14,199
Macedonia,52,-241
France,-244,-139
Georgia,363,-127
Germany,-139,-51
Greece,57,-279
Hungary,-2,-136
Iceland,-376,280
Ireland,-350,13
Italy,-130,-180
Latvia,52,82
Liechtenstein,-137,-135
Lithuania,32,54
Luxembourg,-185,-77
Malta,-37,-356
Moldova,127,-99
Monaco,-176,-213
Montenegro,9,-220
Netherlands,-189,-31
Norway,-140,139
Poland,-21,-28
Portugal,-420,-244
Romania,74,-144
Russia,212,178
San Marino,-97,-200
Serbia,28,-189
Slovakia,4,-93
Slovenia,-68,-160
Spain,-354,-281
Sweden,-89,101
Switzerland,-168,-145
Turkey,252,-237
Ukraine,146,-51
United Kingdom,-282,-21
Vatican City,-90,-249
